"V400","V401","V402"
282.5,287.58,289.75
282.97,288.5,290.13
279.11,286.21,289.55
279.51,286.32,289.35
275.04,284.59,288.89
279.1,286.27,289.19
280.78,287.04,289.56
278.86,285.47,289
280.44,287.72,289.5
278.77,286.19,289.17
282.01,287.09,289.27
288.79,290.4,289.93
282.21,287.21,289.3
278.41,285.94,289.08
281.12,286.8,289.12
278.74,286.3,289.19
273.84,283.49,288.49
273.48,283.15,288.25
274.88,283.8,288.37
274.42,283.57,288.21
274.11,284,288.34
274.66,283.52,287.98
275.36,283.6,288
273.65,282.79,287.81
273.38,282.42,287.55
270.27,280.63,286.97
273.79,282.56,287.33
274.47,283.53,287.54
274.87,283.8,287.59
276.28,283.55,287.21
281.53,286.22,287.91
277.41,284.76,287.62
275.5,283.5,287.29
278.83,284.52,287.32
281.78,286.41,287.83
272.37,282.32,286.94
274.37,283.57,287.16
268.83,280.22,286.22
274.29,283.3,286.77
279.37,287.33,287.84
268.79,281.74,286.76
268.61,280.66,286.31
269.56,281.66,286.59
267.82,281.37,286.4
266.88,281.58,286.56
264.73,278.9,285.6
265.68,279.6,285.48
276.42,283.96,286.55
275.86,283.59,286.36
281.8,285.16,286.57
276.63,283.09,286.08
266.09,278.35,284.93
268.16,279.23,285.12
272.64,280.45,285.3
271.95,281.01,285.49
268.46,278.74,284.77
268.32,278.49,284.46
265.8,277.89,284.42
260.21,275.31,283.73
262.08,275.92,283.71
265.25,277.11,283.86
270.93,279.7,284.18
272.32,280.21,284.38
274.75,281.19,284.45
278.38,284.76,285.34
272.88,280.68,284.57
275.97,281.39,284.41
286.66,285.7,285.2
276.67,283.98,285.34
272.82,280.39,284.31
268.94,278.89,283.97
268.41,278.34,283.7
277.09,283.09,284.83
279.73,284.75,285.15
271.03,280.01,284.08
270.73,279.01,283.67
276.96,283.1,284.76
275.28,281.57,284.22
281.05,283.93,284.68
277.09,281.85,284.22
273.88,280.28,283.77
274.7,280.98,284.07
272.44,279.83,283.64
276.76,281.9,284.14
282.35,284.53,284.67
281.72,284.69,284.75
272.16,279.81,283.68
271.3,279.66,283.57
270.72,279.65,283.58
267.78,277.94,282.96
271.45,279.57,283.31
274.64,280.58,283.59
275.65,281.47,283.78
274.97,281.41,283.58
275.69,281.46,283.67
282.99,284.55,284.25
282.76,284.47,284.28
286.85,285.11,284.08
288.24,286.53,284.68
283.84,285.37,284.61
277.72,282.05,283.84
273.6,280.41,283.53
274.75,280.68,283.61
282.57,284.12,284.15
279.14,283.97,284.34
271.9,279.4,283.1
274.5,281.05,283.54
277.95,281.82,283.8
281.05,284.07,284.3
274.91,281.14,283.6
