"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
19,303.498235294118,307.53,300.89,17,2072-08-16,2072-07-31,212,7,17,11,2,0,1,1,0,300.49,0.945205479452055,0.998904109589041,0.842739726027397,289.663323287671,299.051339869281,"ny"
20,302.7625,303.36,302.09,8,2072-08-29,2072-08-22,234,8,8,6,0,0,0,0,0,300.49,0.921643835616438,0.941369863013699,0.898082191780822,289.663323287671,299.051339869281,"ny"
21,301.284,302.14,300.66,5,2072-09-12,2072-09-08,251,9,5,0,0,0,0,0,0,300.49,0.861095890410959,0.901095890410959,0.832876712328767,289.663323287671,299.051339869281,"ny"
22,301.43,303.12,300.66,9,2073-06-25,2073-06-17,167,6,9,1,0,0,0,0,1,300.49,0.868493150684931,0.935342465753425,0.832876712328767,289.663323287671,299.051339869281,"ny"
23,302.7825,303.54,301.53,4,2073-07-03,2073-06-30,180,6,4,3,0,0,0,0,0,300.49,0.921917808219178,0.947397260273973,0.871506849315068,289.663323287671,299.051339869281,"ny"
24,301.785,302.48,301.09,2,2073-07-07,2073-07-06,186,7,2,0,0,0,0,0,0,300.49,0.882739726027397,0.913150684931507,0.852602739726027,289.663323287671,299.051339869281,"ny"
25,302.776,304.06,300.61,5,2073-07-13,2073-07-09,189,7,5,3,0,0,0,0,0,300.49,0.921917808219178,0.960821917808219,0.828767123287671,289.663323287671,299.051339869281,"ny"
26,303.9445,307.26,300.62,20,2073-08-05,2073-07-17,197,7,20,12,6,0,5,3,0,300.49,0.957808219178082,0.997534246575343,0.82986301369863,289.663323287671,299.051339869281,"ny"
27,301.77,302.44,300.65,3,2073-08-11,2073-08-09,220,8,3,0,0,0,0,0,0,300.49,0.881917808219178,0.912602739726027,0.831506849315068,289.663323287671,299.051339869281,"ny"
28,301.766153846154,303.38,300.59,13,2073-08-28,2073-08-16,227,8,13,3,0,0,0,0,0,300.49,0.881369863013699,0.942739726027397,0.828219178082192,289.663323287671,299.051339869281,"ny"
29,301.4,301.9,300.65,3,2073-09-08,2073-09-06,248,9,3,0,0,0,0,0,0,300.49,0.867123287671233,0.89041095890411,0.831506849315068,289.663323287671,299.051339869281,"ny"
30,301.644,302.32,300.64,5,2073-09-21,2073-09-17,259,9,5,0,0,0,0,0,0,300.49,0.876438356164384,0.908219178082192,0.830684931506849,289.663323287671,299.051339869281,"ny"
31,302.68,304.35,301.81,5,2074-07-01,2074-06-27,177,6,5,2,0,0,0,0,1,300.49,0.919178082191781,0.966849315068493,0.884383561643836,289.663323287671,299.051339869281,"ny"
32,300.71,300.86,300.56,2,2074-07-04,2074-07-03,183,7,2,0,0,0,0,0,0,300.49,0.834246575342466,0.840821917808219,0.826301369863014,289.663323287671,299.051339869281,"ny"
33,303.328181818182,306.73,300.52,11,2074-07-16,2074-07-06,186,7,11,7,2,0,1,1,0,300.49,0.94,0.995616438356164,0.824109589041096,289.663323287671,299.051339869281,"ny"
34,301.98,302.2,301.72,3,2074-07-20,2074-07-18,198,7,3,0,0,0,0,0,0,300.49,0.893698630136986,0.903835616438356,0.87972602739726,289.663323287671,299.051339869281,"ny"
35,304.713333333333,306.98,301.88,12,2074-08-02,2074-07-22,202,7,12,11,5,0,3,1,0,300.49,0.974794520547945,0.995890410958904,0.889041095890411,289.663323287671,299.051339869281,"ny"
36,303.971764705882,307.22,300.88,17,2074-08-21,2074-08-05,216,8,17,15,3,0,1,1,0,300.49,0.958630136986301,0.996986301369863,0.842191780821918,289.663323287671,299.051339869281,"ny"
37,302.913333333333,304.4,301.96,3,2074-08-27,2074-08-25,236,8,3,1,0,0,0,0,0,300.49,0.925205479452055,0.967671232876712,0.892328767123288,289.663323287671,299.051339869281,"ny"
38,302.90125,305.5,300.66,8,2074-09-10,2074-09-03,245,9,8,4,1,0,0,0,0,300.49,0.924931506849315,0.984383561643836,0.832876712328767,289.663323287671,299.051339869281,"ny"
39,302.42,304.41,301.17,4,2075-06-07,2075-06-04,154,6,4,2,0,0,0,0,1,300.49,0.912328767123288,0.968493150684931,0.855342465753425,289.663323287671,299.051339869281,"ny"
40,301.42,301.78,301.06,2,2075-06-11,2075-06-10,160,6,2,0,0,0,0,0,0,300.49,0.867397260273973,0.882739726027397,0.85041095890411,289.663323287671,299.051339869281,"ny"
41,301.719090909091,303.18,300.97,11,2075-07-02,2075-06-22,172,6,11,1,0,0,0,0,0,300.49,0.879178082191781,0.937260273972603,0.846301369863014,289.663323287671,299.051339869281,"ny"
42,303.496666666667,307.46,300.66,15,2075-07-18,2075-07-04,184,7,15,10,2,0,2,1,0,300.49,0.945205479452055,0.998630136986301,0.832876712328767,289.663323287671,299.051339869281,"ny"
