"hw.number","mean.var","max.var","min.var","length","end.date","start.date","start.doy","start.month","days.above.abs.thresh.1","days.above.abs.thresh.2","days.above.abs.thresh.3","days.above.abs.thresh.4","days.above.99th","days.above.99.5th","first.in.year","threshold","mean.var.quantile","max.var.quantile","min.var.quantile","mean.yearround.var","mean.seasonal.var","city"
9,299.126666666667,299.51,298.93,3,2071-06-28,2071-06-26,176,6,0,0,0,0,0,0,1,298.7704,0.836986301369863,0.853424657534247,0.826027397260274,290.483498630137,297.220470588235,"ny"
10,299.554,299.98,299.01,5,2071-07-06,2071-07-02,182,7,1,0,0,0,0,0,0,298.7704,0.855342465753425,0.874794520547945,0.832328767123288,290.483498630137,297.220470588235,"ny"
11,299.365,299.9,298.83,2,2071-07-11,2071-07-10,190,7,1,0,0,0,0,0,0,298.7704,0.847671232876712,0.86958904109589,0.822191780821918,290.483498630137,297.220470588235,"ny"
12,301.965,305.55,299.03,18,2071-07-30,2071-07-13,193,7,17,6,1,0,3,2,0,298.7704,0.952054794520548,0.998082191780822,0.833424657534247,290.483498630137,297.220470588235,"ny"
13,300.182352941176,303.09,298.78,17,2071-08-17,2071-08-01,212,8,10,1,0,0,0,0,0,298.7704,0.883835616438356,0.975068493150685,0.819178082191781,290.483498630137,297.220470588235,"ny"
14,300.04,301.82,298.79,4,2071-08-22,2071-08-19,230,8,2,0,0,0,0,0,0,298.7704,0.877534246575343,0.948493150684931,0.81972602739726,290.483498630137,297.220470588235,"ny"
15,299.375,299.94,298.81,2,2071-08-25,2071-08-24,235,8,1,0,0,0,0,0,0,298.7704,0.847945205479452,0.873150684931507,0.821095890410959,290.483498630137,297.220470588235,"ny"
16,301.245555555556,303.11,298.99,18,2071-09-14,2071-08-28,239,8,16,2,0,0,0,0,0,298.7704,0.929315068493151,0.975342465753425,0.83041095890411,290.483498630137,297.220470588235,"ny"
17,300.488333333333,301.53,299.3,6,2071-10-05,2071-09-30,272,9,5,0,0,0,0,0,0,298.7704,0.898904109589041,0.938356164383562,0.845479452054794,290.483498630137,297.220470588235,"ny"
18,299.695,300.03,299.36,2,2072-07-01,2072-06-30,181,6,1,0,0,0,0,0,1,298.7704,0.858356164383562,0.876986301369863,0.847671232876712,290.483498630137,297.220470588235,"ny"
19,299.595,300.1,299.09,2,2072-07-26,2072-07-25,206,7,1,0,0,0,0,0,0,298.7704,0.855616438356164,0.88,0.835068493150685,290.483498630137,297.220470588235,"ny"
20,299.628333333333,300.25,299.22,6,2072-08-04,2072-07-30,211,7,2,0,0,0,0,0,0,298.7704,0.856438356164384,0.886849315068493,0.841095890410959,290.483498630137,297.220470588235,"ny"
21,300.223333333333,302.14,299,9,2072-08-18,2072-08-10,222,8,6,0,0,0,0,0,0,298.7704,0.885205479452055,0.958082191780822,0.831232876712329,290.483498630137,297.220470588235,"ny"
22,299.94,300.44,299.44,2,2072-08-21,2072-08-20,232,8,1,0,0,0,0,0,0,298.7704,0.873150684931507,0.896986301369863,0.84986301369863,290.483498630137,297.220470588235,"ny"
23,300.79,301.07,300.51,2,2072-08-26,2072-08-25,237,8,2,0,0,0,0,0,0,298.7704,0.91013698630137,0.924109589041096,0.900547945205479,290.483498630137,297.220470588235,"ny"
24,299.9,301.65,298.95,3,2073-06-29,2073-06-27,177,6,1,0,0,0,0,0,1,298.7704,0.86958904109589,0.941643835616438,0.827945205479452,290.483498630137,297.220470588235,"ny"
25,302.593148148148,306.15,299.05,54,2073-09-07,2073-07-16,196,7,48,29,4,0,15,8,0,298.7704,0.967397260273973,1,0.833972602739726,290.483498630137,297.220470588235,"ny"
26,300.094285714286,300.72,299.3,7,2073-09-16,2073-09-10,252,9,6,0,0,0,0,0,0,298.7704,0.87972602739726,0.908219178082192,0.845479452054794,290.483498630137,297.220470588235,"ny"
27,301.623870967742,305.98,298.81,31,2074-08-03,2074-07-04,184,7,26,8,1,0,3,1,1,298.7704,0.94027397260274,0.99972602739726,0.821095890410959,290.483498630137,297.220470588235,"ny"
28,301.72,304.71,298.99,19,2074-08-26,2074-08-08,219,8,16,5,0,0,2,0,0,298.7704,0.944109589041096,0.995068493150685,0.83041095890411,290.483498630137,297.220470588235,"ny"
29,299.515,300.07,298.99,4,2074-09-06,2074-09-03,245,9,2,0,0,0,0,0,0,298.7704,0.853424657534247,0.879178082191781,0.83041095890411,290.483498630137,297.220470588235,"ny"
30,299.075,299.36,298.79,2,2074-09-09,2074-09-08,250,9,0,0,0,0,0,0,0,298.7704,0.834794520547945,0.847671232876712,0.81972602739726,290.483498630137,297.220470588235,"ny"
31,300.201666666667,301.82,298.88,6,2075-07-08,2075-07-03,183,7,4,0,0,0,0,0,1,298.7704,0.884931506849315,0.948493150684931,0.824383561643836,290.483498630137,297.220470588235,"ny"
32,301.771428571429,305.22,298.78,21,2075-07-30,2075-07-10,190,7,18,7,0,0,2,2,0,298.7704,0.945479452054795,0.997260273972603,0.819178082191781,290.483498630137,297.220470588235,"ny"
33,301.490784313725,304.16,298.95,51,2075-09-20,2075-08-01,212,8,45,15,0,0,0,0,0,298.7704,0.936986301369863,0.989041095890411,0.827945205479452,290.483498630137,297.220470588235,"ny"
34,301.44,301.68,301.2,2,2076-06-07,2076-06-06,157,6,2,0,0,0,0,0,1,298.7704,0.933972602739726,0.943561643835616,0.928767123287671,290.483498630137,297.220470588235,"ny"
35,301.005555555556,302.11,299.71,9,2076-07-08,2076-06-30,181,6,7,0,0,0,0,0,0,298.7704,0.921095890410959,0.957534246575342,0.86027397260274,290.483498630137,297.220470588235,"ny"
36,299.666666666667,300.11,299.21,3,2076-07-15,2076-07-13,194,7,1,0,0,0,0,0,0,298.7704,0.856986301369863,0.880821917808219,0.840821917808219,290.483498630137,297.220470588235,"ny"
37,300.078888888889,301.19,298.94,9,2076-07-28,2076-07-20,201,7,4,0,0,0,0,0,0,298.7704,0.879178082191781,0.928219178082192,0.826849315068493,290.483498630137,297.220470588235,"ny"
